UniqueAccession,Climate_relationship,Actual_Extreme_Event,DistalEvent_Type,DistalEvent_EventName,ProximateEvent_Type,ProximateEvent_Duration,ProximateEvent_SpatialExtent,DistalEvent_ReturnTime,Latitude (decimal degrees),Longitude (decimal degrees),Continent/Ocean,Country,ProximateEvent_MonthYearStart (MMYYYY),Type_system ,System_Name,Sampling_MonthYearStart (MMYYYY),Sampling_Duration_Before,Sampling_Duration_During,Sampling_Duration_After,Continuous Monitoring Prior,SamplingUnit_SpatialExtent,ReplicateSamples,Study_SpatialExtent,Extreme_Definition,"NOTE: AT THIS POINT YOU SHOULD CONSIDER ADDING MULTIPLE ROWS FOR A STUDY IF THE AUTHORS FOCUSED ON MORE THAN ONE BIOLOGICAL, CHEMICAL, OR PHYSICAL RESPONSE",BiologicalResponseMeasured,BiologicalResponse_OrganismalGroup,BiologicalResponse_TrophicLevel,BiologicalResponse_Direction,BiologicalResponse_EffectSize,BiologicalResponse_Significance,BiologicalResponse_RawData_PublicallyAvailable,PhysicalResponseCategory,PhysicalResponseMeasured,PhysicalResponse_ParameterMeasured,PhysicalResponse_Direction,PhysicalResponse_EffectSize,PhysicalResponse_Significance,PhysicalResponse_RawData_PublicallyAvailable,ChemicalResponse_Category,ChemicalResponse_Measured,ChemicalResponse_ElementMaterial_Measured,ChemicalResponse_Direction,ChemicalResponse_EffectSize,ChemicalResponse_Significance,ChemicalResponse_RawData_PublicallyAvailable,Comment,second reader,Exclude
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,years,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,,,,,,,,Salinity/Conductivity,concentration (mass/volume - 1 sample),Salinity,decrease,extreme - sig,sig,Y,Is salinity a chemical or a physical response variable?,I think chemical,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,years,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-TN,increase,extreme - sig,sig,Y,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,rhizome sugar level,submerged aquatic vegetation,primary producers,decrease,small - sig,sig,Y,,,,,,,,,,,,,,,"Not sure what biological response category ""Rhizome sugar level"" falls into",,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,rhizome starch levels,submerged aquatic vegetation,primary producers,unspecified/unclear,unspecified/unclear,no response,Y,,,,,,,,,,,,,,,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,leaf carbon isotope ratio,submerged aquatic vegetation,primary producers,decrease,small - sig,sig,Y,,,,,,,,,,,,,,,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,total leaf chlorophyl,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,ratio of leaf chlorophyl a:b,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,aboveground biomass,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,Do we want to distinguish between above and belowground biomass?,it was measured and reported so I vote to distinguish,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,belowground biomass,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,Do we want to distinguish between above and belowground biomass?,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,growth,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,Number of shoots,,
35,N,Y,Precipitation,,Flood,months,>1000 sq m,undefined,-27.617536,153.34255,Australia/Oceania,Australia,12011,estuary,"Moreton Bay, Queensland",22011,none,none,months,N,undefined,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,submerged aquatic vegetation,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,Number of leaves,,
36,Y,Y,Precipitation,,Flood,weeks,>1000 sq m,undefined,41.291749,-84.284307,N. America,USA,52011,lake,Lake Erie,12002,years,months,none,Y,100-1000 sq m,Y,Regional/Continental,Yes with a statistical context-specific definition,,abundance,algae-micro,primary producers,increase,large - sig not tested,,N,,,,,,,,Solute or particle/sediment,loading or flux (mass/time or mass/surface area/time),P-SRP/PO4,increase,extreme - sig not tested,no response,N,"This is a weird one - didn't actually measure anything except Microcystis abundance, but used a SWAT model to (somehow) link increased SRP loading due to one extreme precipitation event to a massive cyano bloom the following summer.","-suggest that the sampling before should be ""years"" and continuous monitoring prior should be ""y"", since in the SI info it says they sampled at biweekly interals from 2002-2011. that would be just for the microsystis abundance data, but I think that's ok. Looks like they published on these data previously (in ""A novel method for tracking western Lake Erie Microcystis blooms, 2002Ð2011""), so they don't give the methods here, but since it's the same group and really the same study I think it should count.. does that make sense?
- I think ""sampling duration during"" should be months, since it looks like they sampled biweekly in 2011
-for the sampling unit spatial extent, looks like they used the same 6 sample sites as the paper ""A novel method for tracking western Lake Erie Microcystis blooms, 2002Ð2011"" (ref 1 in SI) I don't actually have access to this paper- do you? Not sure how important it is to track down. I also think this method means the ""replicate samples"" column should be Y, since they had duplicate tows from 6 sites
- suggest changing biological response effect size to ""large - sig not tested""  instead of no response. For the chemical response, perhaps change effect size to ""extreme - sig not tested"" since they said it was the largest observed since 1975 for periods of those lenthgs? or maybe just large. ",
37,Y,Y,Cyclone/Typhoon,Cyclone Dando,Flood,days,Regional/Continent,decades,"-24.996144,",31.770589,Africa,South Africa,12012,stream/river,Sabie River,12004,years,none,months,Y,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,vegetation,primary producers,multidirectional,unspecified/unclear,no response,Y,water,river flow,discharge,increase,extreme - sig,sig,Y,,,,,,,,Using overall response along entire river reach; both vegetation and sediment erosion/deposition were multi-directional at individual river reaches but overall were multidirectional (vegetation) or erosional (sediment),"River flow sampling began a lot earlier than ecological sampling (1/1995)- ok that that sample date isn't in this spreadsheet? Also, the ecological data came from a Digital Elevation Model of Difference, which was then checked by looking at arial photos. That's ok right- not modeling?",
37,Y,Y,Cyclone/Typhoon,Cyclone Dando,Flood,days,Regional/Continent,decades,"-24.996144,",31.770589,Africa,South Africa,12012,stream/river,Sabie River,12004,years,none,months,Y,>1000 sq m,N,>1000 sq m,Yes with a non-statistical context-specific definition,,,,,,,,,sediment,sediment transport,channel profiles,decrease,large - non-sig,not sig,Y,,,,,,,,Using overall response along entire river reach; both vegetation and sediment erosion/deposition were multi-directional at individual river reaches but overall were multidirectional (vegetation) or erosional (sediment),,
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,,,,,,,,landforms/topography,channel form,channel profiles,multidirectional,small - non-sig,not sig,N,,,,,,,,,"This paper did include two flood events (2005 and 2014). They do a poor job distinguishing the effects of the two events, and for most of the variables they were the same (e.g. the channel profile changed both times). But - I would propose including the two events as separate entries. Also, I don't think they tested the significance of the chnage in the channel profile ",
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,mortality,fish,secondary consumers,decrease,large - sig not tested,no response,N,,,,,,,,,,,,,,,,,
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,density,fish,secondary consumers,decrease,large - sig,sig,N,,,,,,,,,,,,,,,,,
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,community composition,invertebrates,primary consumers,non-directional change,large - sig,sig,N,,,,,,,,,,,,,,,,,
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,species richness,invertebrates,primary consumers,decrease,small - non-sig,not sig,N,,,,,,,,,,,,,,,,,
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,taxonomic diversity,invertebrates,primary consumers,decrease,small - non-sig,not sig,N,,,,,,,,,,,,,,,,,
38,Y,Y,Precipitation,,Flood,years,10-100 sq m,undefined,58.997178,-136.165847,N. America,USA,82005,stream/river,Wolf Point Creek,1996,years,years,years,Y,1-10 sq m,N,10-100 sq m,No - extreme event mentioned but not defined,,taxonomic richness,invertebrates,primary consumers,decrease,small - non-sig,not sig,N,,,,,,,,,,,,,,,,,
39,N,Y,Climate System,ENSO,Drought,months,Regional/Continent,years,5.967008,-56.849906,S. America,Suriname,81997,lagoon,Bigi Pan Area,61960,years,months,none,Y,>1000 sq m,Y,>1000 sq m,Yes with a statistical general definition,,catches or landings,fish,multiple trophic levels,decrease,large - sig not tested,not sig,N,water,temperature,,increase,small - sig not tested,no response,N,pH,concentration (mass/volume - 1 sample),,no response,no response,no response,N,"The authors studied separate fish populations in three different systems: lagoons, freshwater swamps, and a freshwater stream; I include separate lines for these different systems","They also include information for water temperature, water velocity, ph, conductance, and dissolved oxygen- Table 3- for an el nino year vs. a non el-nino year; do we want to include this?",
39,N,Y,Climate System,ENSO,Drought,months,Regional/Continent,years,4.9,-56.11666667,S. America,Suriname,81997,wetland,Maykaboeka Creek,61990,years,months,months,Y,undefined,Y,undefined,Yes with a statistical general definition,,reproduction - nest quantity,fish,multiple trophic levels,decrease,unspecified/unclear,not sig,N,water,current speed,,decrease,extreme - sig,sig,N,Salinity/Conductivity,,,increase,large - sig not tested,no response,N,"The authors studied separate fish populations in three different systems: lagoons, freshwater swamps, and a freshwater stream; I include separate lines for these different systems",,
39,N,Y,Climate System,ENSO,Drought,months,Regional/Continent,years,4.9,-56.11666667,S. America,Suriname,81997,stream/river,Maykaboeka Creek,1998,none,months,months,N,>1000 sq m,Y,>1000 sq m,Yes with a statistical general definition,,reproduction - nest quantity,fish,multiple trophic levels,unspecified/unclear,unspecified/unclear,not sig,N,water,dissolved oxygen,,decrease,large - sig not tested,no response,N,,,,,,,,"The authors studied separate fish populations in three different systems: lagoons, freshwater swamps, and a freshwater stream; I include separate lines for these different systems",,
40,Y,Y,Climate System,,Flood,weeks,>1000 sq m,decades,-77.7,162.3,Antarctica,,12009,catchment/watershed,Wormherder Creek,12009,none,single sample,single sample,N,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,taxonomic community structure,invertebrates,multiple trophic levels,multidirectional,large - sig,sig,N,water,soil moisture,soil moisture,increase,extreme - sig,sig,N,pH,concentration (mass/volume - 1 sample),,increase,large - sig,sig,N,,,
40,Y,Y,Climate System,,Flood,weeks,>1000 sq m,decades,-77.7,162.3,Antarctica,,12009,catchment/watershed,Wormherder Creek,12009,none,single sample,single sample,N,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,,,,,,,,,,,,,,,Solute or particle/sediment,concentration (mass/volume - 1 sample),N-NH4,decrease,large - sig,sig,N,,,
40,Y,Y,Climate System,,Flood,weeks,>1000 sq m,decades,-77.7,162.3,Antarctica,,12009,catchment/watershed,Wormherder Creek,12009,none,single sample,single sample,N,<1 sq m,Y,>1000 sq m,Yes with a statistical general definition,,,,,,,,,,,,,,,,,,P-SRP/PO4,increase,large - sig,sig,N,,,
41,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-25.75,113.733,Australia/Oceania,Australia,12011,estuary,Shark Bay,32007,years,none,years,N,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,species richness,submerged aquatic vegetation,primary producers,no response,no response,no response,N,water,turbidity,likelihood of seeing bottom,decrease,large - sig,sig,N,,,,,,,,they saw a decrease in the most common seagrass before the extreme event (Amphibolis antarctica) and an increase in early successional tropical segrasses (Halodule uninervis). ,"Got it! Not sure how we deal with that in the data, but I think the way you did this makes sense.",No
41,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-25.75,113.733,Australia/Oceania,Australia,12011,estuary,Shark Bay,32007,years,none,years,N,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,diversity,submerged aquatic vegetation,primary producers,increase,small - non-sig,not sig,N,water,temperature,,increase,extreme - sig,sig,N,,,,,,,,they saw a decrease in the most common seagrass before the extreme event (Amphibolis antarctica) and an increase in early successional tropical segrasses (Halodule uninervis). ,,No
41,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-25.75,113.733,Australia/Oceania,Australia,12011,estuary,Shark Bay,32007,years,none,years,N,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,percent cover,submerged aquatic vegetation,primary producers,decrease,large - sig,sig,N,,,,,,,,Salinity/Conductivity,concentration (mass/volume - 1 sample),Salinity,increase,large - sig,sig,N,they saw a decrease in the most common seagrass before the extreme event (Amphibolis antarctica) and an increase in early successional tropical segrasses (Halodule uninervis). ,,No
41,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-25.75,113.733,Australia/Oceania,Australia,12011,estuary,Shark Bay,32007,years,none,years,N,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,percent occurrence,submerged aquatic vegetation,primary producers,decrease,large - sig,sig,N,,,,,,,,,,,,,,,they saw a decrease in the most common seagrass before the extreme event (Amphibolis antarctica) and an increase in early successional tropical segrasses (Halodule uninervis). ,,No
41,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-25.75,113.733,Australia/Oceania,Australia,12011,estuary,Shark Bay,32007,years,none,years,N,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,percent occurrence,submerged aquatic vegetation,primary producers,increase,large - sig,sig,N,,,,,,,,,,,,,,,they saw a decrease in the most common seagrass before the extreme event (Amphibolis antarctica) and an increase in early successional tropical segrasses (Halodule uninervis). ,,No
41,Y,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,decades,-25.75,113.733,Australia/Oceania,Australia,12011,estuary,Shark Bay,32007,years,none,years,N,1-10 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,percent occurrence,submerged aquatic vegetation,primary producers,increase,large - sig,sig,N,,,,,,,,,,,,,,,they saw a decrease in the most common seagrass before the extreme event (Amphibolis antarctica) and an increase in early successional tropical segrasses (Halodule uninervis). ,,No
42,Y,Y,Drought,,Lagoon closure,months,>1000 sq m,undefined,37.04055556,-122.2288889,N. America,USA,52015,lagoon,Scott Creek,62015,none,months,none,N,10-100 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,abundance,fish,secondary consumers,unspecified/unclear,unspecified/unclear,no response,N,water,temperature,,multidirectional,large - sig not tested,no response,N,,,,,,,,"In this study, the authors compared the abundance, growth, movement, and seawater readiness of salmon and steelhead trout in the same lagoon that was closed from the ocean due to extreme drought. The measurements were only made during the time when the lagoon was closed, i.e. during the extreme event, so there were no significance tests of the effects of the event ",,
42,Y,Y,Drought,,Lagoon closure,months,>1000 sq m,undefined,37.04055556,-122.2288889,N. America,USA,52015,lagoon,Scott Creek,62015,none,months,none,N,10-100 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,growth,fish,secondary consumers,unspecified/unclear,unspecified/unclear,no response,N,water,dissolved oxygen,,multidirectional,large - sig not tested,no response,N,,,,,,,,,,
42,Y,Y,Drought,,Lagoon closure,months,>1000 sq m,undefined,37.04055556,-122.2288889,N. America,USA,52015,lagoon,Scott Creek,62015,none,months,none,N,10-100 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,behavior - movement,fish,secondary consumers,unspecified/unclear,unspecified/unclear,no response,N,,,,,,,,Salinity/Conductivity,concentration (mass/volume - 1 sample),Salinity,multidirectional,large - sig not tested,no response,N,,,
42,Y,Y,Drought,,Lagoon closure,months,>1000 sq m,undefined,37.04055556,-122.2288889,N. America,USA,52015,lagoon,Scott Creek,62015,none,months,none,N,10-100 sq m,Y,>1000 sq m,Yes with a non-statistical context-specific definition,,seawater readiness,fish,secondary consumers,unspecified/unclear,unspecified/unclear,no response,N,,,,,,,,,,,,,,,,,
43,Y,Y,Weather System,,Flood,weeks,>1000 sq m,centuries,-25.063242,31.827433,Africa,South Africa,22000,stream/river,Kruger National Park,101990,single sample,none,single sample,N,100-1000 sq m,Y,100-1000 sq m,Yes with a statistical context-specific definition,,percent cover,vegetation,primary producers,decrease,large - sig not tested,no response,N,landforms/topography,channel form,channel geomorphology type,multidirectional,small - sig not tested,no response,N,,,,,,,,,,
43,Y,Y,Weather System,,Flood,weeks,>1000 sq m,centuries,-25.063242,31.827433,Africa,South Africa,22000,stream/river,Kruger National Park,101990,single sample,none,single sample,N,100-1000 sq m,Y,100-1000 sq m,Yes with a statistical context-specific definition,,density,vegetation,primary producers,multidirectional,large - sig not tested,no response,N,,,,,,,,,,,,,,,,,
43,Y,Y,Weather System,,Flood,weeks,>1000 sq m,centuries,-25.063242,31.827433,Africa,South Africa,22000,stream/river,Kruger National Park,101990,single sample,none,single sample,N,100-1000 sq m,Y,100-1000 sq m,Yes with a statistical context-specific definition,,community composition,vegetation,primary producers,non-directional change,large - sig not tested,no response,N,,,,,,,,,,,,,,,,,
44,N,Y,Cyclone/Typhoon,,Waves,days,>1000 sq m,years,43.55,13.616667,Europe,Italy,122008,coastal ocean,North Adriatic Sea,72008,months,none,years,Y,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,percent cover,algae-macro,primary producers,decrease,extreme - sig,sig,Y,,,,,,,,,,,,,,,,,
44,N,Y,Cyclone/Typhoon,,Waves,days,>1000 sq m,years,43.55,13.616667,Europe,Italy,122008,coastal ocean,North Adriatic Sea,72008,months,none,years,Y,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,density,algae-macro,primary producers,decrease,large - sig,sig,Y,,,,,,,,,,,,,,,,,
44,N,Y,Cyclone/Typhoon,,Waves,days,>1000 sq m,years,43.55,13.616667,Europe,Italy,122008,coastal ocean,North Adriatic Sea,72008,months,none,years,Y,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,mortality,algae-macro,primary producers,increase,extreme - sig,sig,Y,,,,,,,,,,,,,,,,,
44,N,Y,Cyclone/Typhoon,,Waves,days,>1000 sq m,years,43.55,13.616667,Europe,Italy,122008,coastal ocean,North Adriatic Sea,72008,months,none,years,Y,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,mortality,algae-macro,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,,,
44,N,Y,Cyclone/Typhoon,,Waves,days,>1000 sq m,years,43.55,13.616667,Europe,Italy,122008,coastal ocean,North Adriatic Sea,72008,months,none,years,Y,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,growth,algae-macro,primary producers,no response,no response,no response,Y,,,,,,,,,,,,,,,,,
44,N,Y,Cyclone/Typhoon,,Waves,days,>1000 sq m,years,43.55,13.616667,Europe,Italy,122008,coastal ocean,North Adriatic Sea,1999,years,hours,years,Y,<1 sq m,Y,>1000 sq m,No - extreme event mentioned but not defined,,,,,,,,,water,wave height,,increase,extreme - sig,sig,Y,,,,,,,,Physical variables and biological variables are measured on different timelines,,
45,Y,Y,Weather System,,Heatwave,months,Regional/Continent,years,46.912325,8.116272,Europe,Switzerland,62003,stream/river,Low-land rivers in Switzerland,19184,years,hours,years,Y,<1 sq m,N,Regional/Continental,Yes with a statistical general definition,,,,,,,,,water,temperature,,increase,large - sig,sig,Y,,,,,,,,,Studied three different heat waves; only one was described as extreme. Only included the most exterme heatwave. Looked at three different types of systems (low-land; reservoir fed/high altitude; and snow-fed); included a different response for each,
45,Y,Y,Weather System,,Heatwave,months,Regional/Continent,years,46.912325,8.116272,Europe,Switzerland,62003,stream/river,Low-land rivers in Switzerland,19184,years,hours,years,Y,<1 sq m,N,Regional/Continental,Yes with a statistical general definition,,,,,,,,,water,streamflow,discharge,decrease,small - non-sig,not sig,Y,,,,,,,,,,
45,Y,Y,Weather System,,Heatwave,months,Regional/Continent,years,46.912325,8.116272,Europe,Switzerland,62003,stream/river,Glaciar/Snow-fed rivers in Switzerland,19184,years,hours,years,Y,<1 sq m,N,Regional/Continental,Yes with a statistical general definition,,,,,,,,,water,temperature,,increase,small - non-sig,not sig,Y,,,,,,,,,,
45,Y,Y,Weather System,,Heatwave,months,Regional/Continent,years,46.912325,8.116272,Europe,Switzerland,62003,stream/river,Glaciar/Snow-fed rivers in Switzerland,19184,years,hours,years,Y,<1 sq m,N,Regional/Continental,Yes with a statistical general definition,,,,,,,,,water,streamflow,discharge,increase,small - non-sig,not sig,Y,,,,,,,,,,
45,Y,Y,Weather System,,Heatwave,months,Regional/Continent,years,46.912325,8.116272,Europe,Switzerland,62003,stream/river,High altitude riversin Switzerland,19184,years,hours,years,Y,<1 sq m,N,Regional/Continental,Yes with a statistical general definition,,,,,,,,,water,temperature,,increase,small - non-sig,not sig,Y,,,,,,,,,,
45,Y,Y,Weather System,,Heatwave,months,Regional/Continent,years,46.912325,8.116272,Europe,Switzerland,62003,stream/river,High altitude riversin Switzerland,19184,years,hours,years,Y,<1 sq m,N,Regional/Continental,Yes with a statistical general definition,,,,,,,,,water,streamflow,discharge,no response,no response,no response,Y,,,,,,,,,,
46,N,N,Precipitation,,Flood,days,>1000 sq m,weeks,10.430581,-84.006864,N. America,Costa Rica,41993,stream/river,Sablo River,41993,days,days,days,Y,<1 sq m,Y,1-10 sq m,No - extreme event not mentioned but inferred,,biomass,algae-micro,primary producers,increase,large - sig,sig,N,water,water level,channel depth,increase,large - sig not tested,no response,N,Solute or particle/sediment,concentration (mass/volume - 1 sample),TSS/sediment,decrease,small - sig,sig,N,"Study did not explicitly state an extreme event occured, but rather several storm events. I have included results from the 'most severe' storm event here.","Table 4 shows that, after the third event, the three ecological responses changed significantly- I would change to to ""-sig"" instead of ""-significance not tested"". Not sure for sediment- it looks like day had a significant impact on sediment (table 3), so maybe that goes to ""small - sig""?",
46,N,N,Precipitation,,Flood,days,>1000 sq m,weeks,10.430581,-84.006864,N. America,Costa Rica,41993,stream/river,Sablo River,41993,days,days,days,Y,<1 sq m,Y,1-10 sq m,No - extreme event not mentioned but inferred,,diversity,algae-micro,primary producers,increase,large - sig,sig,N,water,river flow,discharge,increase,large - sig not tested,no response,,,,,,,,,"Study did not explicitly state an extreme event occured, but rather several storm events. I have included results from the 'most severe' storm event here.",,
46,N,N,Precipitation,,Flood,days,>1000 sq m,weeks,10.430581,-84.006864,N. America,Costa Rica,41993,stream/river,Sablo River,41993,days,days,days,Y,<1 sq m,Y,1-10 sq m,No - extreme event not mentioned but inferred,,species richness,algae-micro,primary producers,increase,small - sig,sig,N,,,,,,,,,,,,,,,"Study did not explicitly state an extreme event occured, but rather several storm events. I have included results from the 'most severe' storm event here.",,
47,Y,Y,Precipitation,,Flood,months,>1000 sq m,undefined,34.610126,-90.585788,N. America,USA,52008,floodplain,White River National Wildlife Refuge; Saint Francis National Forest,82004,years,months,years,Y,undefined,Y,>1000 sq m,No - extreme event mentioned but not defined,,body condition,birds,secondary consumers,no response,no response,no response,N,,,,,,,,,,,,,,,,body condition = body mass adjusted to body size - maybe could categorized as biomass so that we don't add another option to the column? I'm not sure,
47,Y,Y,Precipitation,,Flood,months,>1000 sq m,undefined,34.610126,-90.585788,N. America,USA,52008,floodplain,White River National Wildlife Refuge; Saint Francis National Forest,82004,years,months,years,Y,undefined,Y,>1000 sq m,No - extreme event mentioned but not defined,,male survival,birds,secondary consumers,decrease,large - sig,sig,N,,,,,,,,,,,,,,,,,
51,N,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,undefined,-30.2,115,Australia/Oceania,Australia,12011,coastal ocean,Jurien Bay,22013,none,none,single sample,N,1-10 sq m,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,abundance,invertebrates,primary consumers,no response,no response,no response,N,,,,,,,,,,,,,,,"The authors mainly focused on comparing urchin size, condition, and abundance between different sites, all measured in 2013, 2 years after the heatwave. However, they note that one site was more heavily impacted by the heatwave (data not shown in this paper) and that there were no differences between the impacted site and the less impacted sites 2 years later. ",,
51,N,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,undefined,-30.2,115,Australia/Oceania,Australia,12011,coastal ocean,Jurien Bay,22013,none,none,single sample,N,1-10 sq m,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,population size structure,invertebrates,primary consumers,no response,no response,no response,N,,,,,,,,,,,,,,,,,
51,N,Y,Climate System,ENSO,Heatwave,months,Regional/Continent,undefined,-30.2,115,Australia/Oceania,Australia,12011,coastal ocean,Jurien Bay,22013,none,none,single sample,N,1-10 sq m,Y,Regional/Continental,Yes with a non-statistical context-specific definition,,body condition,invertebrates,primary consumers,no response,no response,no response,N,,,,,,,,,,,,,,,,,
